customer_id,signup_date,plan_tier,monthly_usage_hours,support_tickets_last_90d,team_size,industry,nps_score,onboarding_completed,churned,days_to_churn
1,2022-04-13,professional,156.0,5,19,tech,53.0,True,False,
2,2022-05-11,free,24.6,3,2,healthcare,91.0,True,False,
3,2023-11-18,starter,110.32,5,13,finance,13.0,True,True,33.0
4,2022-08-30,starter,53.88,10,11,tech,,True,True,235.0
5,2023-07-16,starter,30.44,0,3,tech,43.0,True,False,
6,2022-09-28,free,15.21,0,4,tech,28.0,False,True,281.0
7,2022-01-15,free,11.85,6,1,tech,4.0,False,True,704.0
8,2023-05-05,starter,134.36,8,10,tech,73.0,True,False,
9,2023-12-27,professional,31.78,7,5,tech,80.0,True,False,
10,2023-07-29,professional,468.82,1,36,finance,57.0,True,False,
11,2023-08-01,starter,33.62,4,10,healthcare,38.0,False,True,148.0
12,2022-07-09,free,8.48,3,1,finance,53.0,True,False,
13,2023-01-09,free,9.0,4,1,tech,,False,True,130.0
14,2022-03-22,free,18.9,5,2,tech,97.0,True,False,
15,2023-03-15,professional,366.47,0,21,finance,,True,True,126.0
16,2022-07-06,free,45.57,2,5,education,38.0,False,True,518.0
17,2022-12-04,professional,112.66,6,15,finance,31.0,True,False,
18,2022-10-31,enterprise,634.58,11,56,education,62.0,True,False,
19,2023-09-20,free,60.86,2,4,tech,35.0,True,True,83.0
20,2022-06-10,free,47.62,2,5,education,51.0,True,False,
21,2023-11-01,enterprise,1209.64,18,128,healthcare,90.0,True,False,
22,2023-10-21,starter,10.83,5,2,tech,30.0,False,True,66.0
23,2022-04-09,enterprise,1408.92,13,135,healthcare,87.0,True,False,
24,2022-11-19,starter,41.83,9,9,tech,38.0,True,False,
25,2022-09-03,starter,59.61,3,14,finance,0.0,True,True,65.0
26,2023-05-27,starter,183.96,3,13,healthcare,91.0,True,False,
27,2022-05-05,professional,78.52,6,26,education,35.0,True,False,
28,2022-12-16,starter,31.03,0,8,education,38.0,True,False,
29,2023-10-03,free,8.52,4,1,tech,4.0,False,True,68.0
30,2022-09-04,free,15.9,10,2,tech,36.0,True,True,318.0
31,2022-01-23,free,69.37,7,5,finance,27.0,False,True,365.0
32,2022-06-09,enterprise,1388.3,15,171,education,69.0,True,False,
33,2022-02-12,free,31.24,4,5,finance,63.0,True,False,
34,2022-04-25,free,55.29,4,4,tech,53.0,True,False,
35,2022-07-11,starter,50.5,3,4,healthcare,42.0,False,False,
36,2022-10-06,professional,356.35,14,45,healthcare,,True,True,129.0
37,2022-08-21,professional,167.62,8,13,healthcare,82.0,True,False,
38,2022-05-31,professional,200.9,4,43,finance,47.0,True,False,
39,2023-08-11,starter,107.01,5,11,education,,True,True,66.0
40,2023-10-10,starter,30.01,4,2,finance,83.0,True,False,
41,2022-06-16,starter,47.86,3,11,healthcare,68.0,True,False,
42,2022-01-01,starter,107.65,2,13,retail,,True,False,
43,2023-11-03,starter,40.86,1,6,tech,30.0,True,False,
44,2023-01-08,starter,92.87,2,4,tech,79.0,True,False,
45,2023-06-24,free,6.47,4,1,tech,42.0,True,False,
46,2023-07-12,free,22.62,5,2,tech,,False,True,34.0
47,2023-01-09,professional,754.85,2,36,healthcare,,True,False,
48,2022-04-15,starter,10.95,3,2,finance,82.0,True,False,
49,2023-11-08,professional,116.84,4,23,retail,61.0,True,False,
50,2022-02-03,starter,0.0,4,9,education,86.0,True,False,
51,2023-02-05,free,39.8,7,5,tech,14.0,True,True,127.0
52,2023-03-11,enterprise,936.91,14,71,tech,39.0,True,False,
53,2022-07-03,professional,177.58,4,21,healthcare,52.0,True,False,
54,2022-07-02,starter,51.33,6,12,healthcare,18.0,False,True,122.0
55,2022-01-05,starter,42.43,4,11,healthcare,,True,False,
56,2022-09-06,starter,39.35,4,7,education,21.0,True,True,236.0
57,2023-06-10,starter,76.24,5,8,tech,47.0,True,False,
58,2023-05-21,starter,22.96,0,4,tech,73.0,True,False,
59,2023-06-21,professional,327.94,1,24,healthcare,69.0,True,False,
60,2023-01-04,starter,122.32,1,11,finance,62.0,True,False,
61,2023-03-13,free,56.85,7,4,retail,80.0,True,False,
62,2023-07-28,enterprise,1392.27,14,98,tech,49.0,False,False,
63,2022-04-23,starter,26.47,0,2,tech,,True,False,
64,2023-11-21,starter,27.7,7,6,finance,64.0,True,False,
65,2023-08-29,free,69.92,5,5,tech,93.0,True,False,
66,2022-12-15,free,14.44,6,1,tech,71.0,True,False,
67,2022-03-30,starter,67.37,0,9,healthcare,95.0,True,False,
68,2023-09-08,free,38.13,2,3,finance,38.0,True,True,62.0
69,2023-02-24,enterprise,1191.4,16,116,tech,67.0,True,False,
70,2022-06-08,starter,121.77,3,14,tech,65.0,True,False,
71,2022-10-19,professional,122.27,9,31,healthcare,,False,True,170.0
72,2022-07-29,starter,127.54,7,9,finance,60.0,False,False,
73,2023-01-13,free,26.08,4,3,retail,,False,True,342.0
74,2023-07-21,free,33.46,6,5,education,37.0,False,True,54.0
75,2023-01-21,starter,81.55,4,12,healthcare,23.0,True,True,209.0
76,2022-06-10,starter,124.91,1,12,tech,42.0,False,False,
77,2022-08-03,starter,104.17,3,9,tech,,True,False,
78,2023-08-13,professional,51.57,0,6,education,,True,False,
79,2023-10-05,starter,218.97,5,11,retail,86.0,True,False,
80,2023-03-19,starter,45.81,6,9,finance,31.0,True,True,125.0
81,2022-04-30,professional,121.24,6,20,tech,18.0,False,True,180.0
82,2023-07-02,starter,35.23,8,3,tech,34.0,True,False,
83,2022-09-13,starter,36.48,5,3,finance,16.0,False,True,253.0
84,2023-06-10,professional,55.3,3,6,education,66.0,False,False,
85,2022-03-16,professional,253.84,4,25,healthcare,56.0,True,False,
86,2022-10-14,professional,320.52,11,44,finance,75.0,True,False,
87,2023-07-30,starter,91.52,2,7,tech,88.0,True,False,
88,2022-08-15,enterprise,885.74,15,74,tech,91.0,True,False,
89,2023-05-22,starter,12.27,3,3,healthcare,54.0,True,False,
90,2022-02-08,free,17.51,7,2,finance,11.0,True,True,46.0
91,2022-11-14,enterprise,1467.94,19,102,finance,44.0,True,False,
92,2023-07-25,enterprise,1543.98,12,128,retail,36.0,True,False,
93,2022-05-17,free,22.07,7,2,tech,43.0,True,False,
94,2022-06-08,starter,86.05,3,13,healthcare,3.0,True,True,556.0
95,2022-12-15,starter,170.25,7,14,tech,,True,False,
96,2022-05-21,starter,40.57,3,4,tech,0.0,True,True,388.0
97,2023-11-20,free,6.69,1,2,finance,72.0,True,False,
98,2023-01-15,starter,155.66,5,9,retail,9.0,True,True,101.0
99,2022-04-17,free,12.39,8,2,tech,,False,True,602.0
100,2023-02-23,professional,114.57,6,21,tech,40.0,True,False,
101,2023-09-09,starter,82.02,6,12,finance,,True,True,108.0
102,2022-09-08,professional,394.12,5,30,finance,62.0,True,False,
103,2022-09-19,starter,61.72,4,9,healthcare,56.0,True,False,
104,2023-02-26,free,65.58,5,5,healthcare,28.0,False,True,287.0
105,2023-06-08,free,56.26,5,5,tech,,False,True,192.0
106,2023-04-12,professional,116.77,8,14,tech,97.0,True,False,
107,2022-07-11,professional,248.67,4,26,tech,65.0,False,False,
108,2022-08-15,starter,100.23,4,13,finance,42.0,True,False,
109,2023-05-04,free,79.77,8,5,tech,15.0,False,True,121.0
110,2022-03-25,starter,62.67,1,10,education,53.0,True,False,
111,2023-06-08,starter,139.53,6,13,education,93.0,True,False,
112,2023-11-24,enterprise,1532.09,20,141,tech,67.0,True,False,
113,2023-12-27,starter,71.23,4,6,tech,67.0,True,False,
114,2023-06-28,starter,96.56,4,10,tech,27.0,False,True,109.0
115,2023-10-22,starter,48.75,0,9,tech,,True,True,55.0
116,2022-07-13,enterprise,1074.35,17,109,tech,35.0,True,False,
117,2022-01-09,enterprise,1509.31,14,122,retail,36.0,True,False,
118,2023-04-04,professional,85.14,9,8,tech,41.0,True,False,
119,2022-03-28,starter,94.73,3,10,education,47.0,True,False,
120,2023-12-24,free,9.41,2,1,tech,78.0,True,False,
121,2023-12-26,professional,163.85,0,28,retail,65.0,True,False,
122,2022-09-07,professional,520.92,7,40,tech,47.0,True,False,
123,2023-07-06,professional,268.31,5,37,tech,98.0,True,False,
124,2023-07-07,free,52.95,10,4,finance,57.0,True,False,
125,2022-03-07,professional,63.85,6,9,retail,,True,False,
126,2022-09-27,starter,108.07,8,14,tech,57.0,True,False,
127,2022-05-01,starter,75.17,7,6,healthcare,49.0,False,False,
128,2022-11-30,free,87.62,4,5,healthcare,23.0,False,True,305.0
129,2022-09-08,free,16.8,6,2,tech,,False,True,323.0
130,2023-01-19,free,57.05,1,4,retail,33.0,True,True,34.0
131,2022-07-12,professional,276.75,5,30,education,30.0,True,False,
132,2022-05-27,enterprise,1105.98,16,161,finance,12.0,False,True,190.0
133,2023-08-08,free,8.33,7,1,retail,52.0,True,False,
134,2022-12-31,professional,133.39,8,28,finance,62.0,True,False,
135,2022-11-01,starter,30.57,2,4,finance,55.0,True,False,
136,2022-11-24,starter,101.66,1,7,tech,75.0,True,False,
137,2023-05-13,professional,299.02,5,47,tech,18.0,False,True,50.0
138,2022-11-30,starter,60.81,3,6,finance,78.0,True,False,
139,2023-08-12,starter,85.67,6,10,tech,3.0,True,True,85.0
140,2023-01-20,starter,164.46,6,14,education,23.0,False,True,38.0
141,2023-01-13,starter,96.54,2,11,education,47.0,True,False,
142,2023-11-07,free,15.03,3,2,healthcare,27.0,False,True,34.0
143,2023-03-31,starter,69.59,5,11,tech,71.0,True,False,
144,2023-01-09,starter,130.07,3,10,finance,35.0,True,True,261.0
145,2022-03-14,starter,70.18,11,12,education,37.0,True,True,189.0
146,2023-12-13,starter,30.33,4,7,tech,59.0,True,False,
147,2022-04-26,free,24.33,6,4,education,16.0,True,True,84.0
148,2023-02-04,starter,35.39,4,5,retail,94.0,True,False,
149,2023-09-25,starter,59.42,4,5,tech,43.0,True,False,
150,2023-04-26,free,19.32,6,5,healthcare,64.0,True,False,
151,2023-02-10,starter,75.25,0,7,healthcare,59.0,True,False,
152,2023-04-07,professional,119.06,7,20,tech,39.0,True,False,
153,2023-06-21,starter,189.25,7,14,finance,5.0,True,True,160.0
154,2022-01-25,starter,17.33,6,3,retail,5.0,True,True,561.0
155,2023-11-03,free,21.53,9,2,tech,,False,True,53.0
156,2022-03-24,free,25.35,4,5,finance,46.0,True,False,
157,2022-04-11,starter,43.29,6,5,education,36.0,True,False,
158,2022-06-04,starter,81.62,0,8,tech,68.0,True,False,
159,2022-03-06,starter,81.16,6,11,tech,84.0,True,False,
160,2023-09-21,starter,83.22,1,5,education,71.0,True,False,
161,2023-02-01,free,10.9,3,1,retail,33.0,True,True,313.0
162,2023-12-27,starter,7.28,5,2,education,,True,False,
163,2023-05-20,professional,17.04,2,5,healthcare,87.0,True,False,
164,2022-09-18,starter,114.95,2,7,finance,,True,True,78.0
165,2023-08-13,free,8.31,7,1,retail,31.0,False,True,124.0
166,2022-08-14,free,11.73,1,1,healthcare,59.0,True,False,
167,2023-12-26,starter,33.17,7,4,education,47.0,False,False,
168,2022-05-29,professional,410.9,9,25,tech,51.0,True,False,
169,2023-04-11,free,51.58,6,5,finance,90.0,False,False,
170,2022-12-19,starter,91.4,6,7,finance,,True,True,215.0
171,2022-05-09,professional,97.88,2,7,education,56.0,True,False,
172,2022-03-07,starter,197.63,5,14,education,19.0,True,True,662.0
173,2023-08-10,professional,212.84,0,35,education,83.0,False,False,
174,2023-02-09,free,15.44,0,4,retail,87.0,False,False,
175,2022-02-24,professional,267.67,7,28,education,11.0,True,True,435.0
