date,station_id,station_name,daily_riders,avg_temp_f,precipitation_inches,is_holiday,day_of_week,nearby_events,construction_nearby,fare_zone
2022-01-01,STN001,Downtown Hub,2114,55.4,0.01,True,Saturday,0,True,1
2022-01-02,STN001,Downtown Hub,3903,47.3,0.01,False,Sunday,0,False,1
2022-01-03,STN001,Downtown Hub,8408,54.2,0.1,False,Monday,0,False,1
2022-01-04,STN001,Downtown Hub,7239,50.8,0.05,False,Tuesday,0,False,1
2022-01-05,STN001,Downtown Hub,8110,54.3,0.02,False,Wednesday,0,False,1
2022-01-06,STN001,Downtown Hub,8147,59.7,0.02,False,Thursday,0,False,1
2022-01-07,STN001,Downtown Hub,7253,61.2,0.03,False,Friday,0,False,1
2022-01-08,STN001,Downtown Hub,5524,65.5,0.02,False,Saturday,1,False,1
2022-01-09,STN001,Downtown Hub,4172,62.3,0.04,False,Sunday,0,False,1
2022-01-10,STN001,Downtown Hub,6357,61.6,0.0,False,Monday,0,False,1
2022-01-11,STN001,Downtown Hub,7625,67.1,0.02,False,Tuesday,1,False,1
2022-01-12,STN001,Downtown Hub,7406,53.2,0.05,False,Wednesday,0,False,1
2022-01-13,STN001,Downtown Hub,8704,67.7,0.02,False,Thursday,0,False,1
2022-01-14,STN001,Downtown Hub,8214,61.4,0.03,False,Friday,0,False,1
2022-01-15,STN001,Downtown Hub,5037,70.9,0.0,False,Saturday,0,False,1
2022-01-16,STN001,Downtown Hub,3762,54.3,0.1,False,Sunday,0,False,1
2022-01-17,STN001,Downtown Hub,8076,62.0,0.03,False,Monday,0,False,1
2022-01-18,STN001,Downtown Hub,5746,66.4,0.05,False,Tuesday,0,True,1
2022-01-19,STN001,Downtown Hub,9007,63.4,0.0,False,Wednesday,0,False,1
2022-01-20,STN001,Downtown Hub,7839,66.8,0.04,False,Thursday,0,False,1
2022-01-21,STN001,Downtown Hub,7271,75.7,0.02,False,Friday,0,False,1
2022-01-22,STN001,Downtown Hub,4425,60.6,0.13,False,Saturday,0,False,1
2022-01-23,STN001,Downtown Hub,4265,59.8,0.02,False,Sunday,0,False,1
2022-01-24,STN001,Downtown Hub,8009,73.4,0.04,False,Monday,0,False,1
2022-01-25,STN001,Downtown Hub,7753,67.8,0.05,False,Tuesday,0,False,1
2022-01-26,STN001,Downtown Hub,6679,60.8,0.02,False,Wednesday,0,False,1
2022-01-27,STN001,Downtown Hub,7597,60.1,0.15,False,Thursday,1,False,1
2022-01-28,STN001,Downtown Hub,9082,68.7,0.0,False,Friday,2,False,1
2022-01-29,STN001,Downtown Hub,4272,74.3,0.01,False,Saturday,0,False,1
2022-01-30,STN001,Downtown Hub,3911,65.4,0.0,False,Sunday,1,False,1
2022-01-31,STN001,Downtown Hub,8531,69.7,0.03,False,Monday,0,False,1
2022-02-01,STN001,Downtown Hub,4792,62.6,0.1,False,Tuesday,0,True,1
2022-02-02,STN001,Downtown Hub,6544,72.7,0.03,False,Wednesday,0,True,1
2022-02-03,STN001,Downtown Hub,7229,80.9,0.02,False,Thursday,2,False,1
2022-02-04,STN001,Downtown Hub,7536,67.8,0.08,False,Friday,1,False,1
2022-02-05,STN001,Downtown Hub,4783,70.5,0.05,False,Saturday,0,False,1
2022-02-06,STN001,Downtown Hub,4862,63.9,0.05,False,Sunday,1,False,1
2022-02-07,STN001,Downtown Hub,5556,68.6,0.09,False,Monday,0,True,1
2022-02-08,STN001,Downtown Hub,6325,56.9,0.09,False,Tuesday,0,True,1
2022-02-09,STN001,Downtown Hub,10513,56.6,0.01,False,Wednesday,0,False,1
2022-02-10,STN001,Downtown Hub,7695,75.5,0.05,False,Thursday,0,False,1
2022-02-11,STN001,Downtown Hub,7945,64.4,0.12,False,Friday,0,False,1
2022-02-12,STN001,Downtown Hub,4870,63.2,0.03,False,Saturday,1,False,1
2022-02-13,STN001,Downtown Hub,4070,67.4,0.02,False,Sunday,0,False,1
2022-02-14,STN001,Downtown Hub,7371,57.4,0.03,False,Monday,0,False,1
2022-02-15,STN001,Downtown Hub,7778,60.4,0.07,False,Tuesday,0,False,1
2022-02-16,STN001,Downtown Hub,8061,58.9,0.07,False,Wednesday,0,False,1
2022-02-17,STN001,Downtown Hub,6718,76.7,0.12,False,Thursday,1,False,1
2022-02-18,STN001,Downtown Hub,7810,66.7,0.08,False,Friday,0,False,1
2022-02-19,STN001,Downtown Hub,5092,78.9,0.23,False,Saturday,0,False,1
2022-02-20,STN001,Downtown Hub,3794,65.5,0.0,False,Sunday,0,False,1
2022-02-21,STN001,Downtown Hub,7359,80.9,0.02,False,Monday,0,False,1
2022-02-22,STN001,Downtown Hub,7732,81.9,0.05,False,Tuesday,0,False,1
2022-02-23,STN001,Downtown Hub,7493,74.5,0.02,False,Wednesday,1,False,1
2022-02-24,STN001,Downtown Hub,7781,70.6,0.01,False,Thursday,0,False,1
2022-02-25,STN001,Downtown Hub,8056,77.7,0.07,False,Friday,1,False,1
2022-02-26,STN001,Downtown Hub,5070,92.9,0.08,False,Saturday,0,False,1
2022-02-27,STN001,Downtown Hub,3016,75.7,0.02,False,Sunday,0,True,1
2022-02-28,STN001,Downtown Hub,8863,88.6,0.0,False,Monday,0,False,1
2022-03-01,STN001,Downtown Hub,7303,59.9,0.01,False,Tuesday,0,False,1
2022-03-02,STN001,Downtown Hub,7057,65.6,0.03,False,Wednesday,0,False,1
2022-03-03,STN001,Downtown Hub,7912,70.7,0.05,False,Thursday,1,False,1
2022-03-04,STN001,Downtown Hub,6124,89.3,0.05,False,Friday,0,True,1
2022-03-05,STN001,Downtown Hub,5095,79.1,0.02,False,Saturday,0,False,1
2022-03-06,STN001,Downtown Hub,4011,80.0,0.01,False,Sunday,1,False,1
2022-03-07,STN001,Downtown Hub,8087,70.8,0.02,False,Monday,0,False,1
2022-03-08,STN001,Downtown Hub,8153,72.9,0.04,False,Tuesday,0,False,1
2022-03-09,STN001,Downtown Hub,6392,83.3,0.0,False,Wednesday,0,True,1
2022-03-10,STN001,Downtown Hub,7971,80.7,0.15,False,Thursday,2,False,1
2022-03-11,STN001,Downtown Hub,7515,77.9,0.15,False,Friday,0,False,1
2022-03-12,STN001,Downtown Hub,4386,65.6,0.02,False,Saturday,0,False,1
2022-03-13,STN001,Downtown Hub,4060,84.6,0.01,False,Sunday,0,False,1
2022-03-14,STN001,Downtown Hub,5728,75.1,0.14,False,Monday,2,True,1
2022-03-15,STN001,Downtown Hub,7467,78.7,0.04,False,Tuesday,0,False,1
2022-03-16,STN001,Downtown Hub,8532,76.5,0.02,False,Wednesday,0,False,1
2022-03-17,STN001,Downtown Hub,5905,69.4,0.09,False,Thursday,1,True,1
2022-03-18,STN001,Downtown Hub,7895,77.8,0.06,False,Friday,1,False,1
2022-03-19,STN001,Downtown Hub,4465,71.3,0.02,False,Saturday,0,True,1
2022-03-20,STN001,Downtown Hub,4711,68.4,0.07,False,Sunday,0,False,1
2022-03-21,STN001,Downtown Hub,7447,69.7,0.01,False,Monday,0,False,1
